chr1	3079711	3144047	1	1	1	1	0.606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394	1	0.606	0	0	0	0	0	0	0.73	1	0.27	0.73	1	1	1	1	1	1	1	1	0.27	0	0	0	0	0	0	0	0.73	1	1	1	1	1	1
chr1	3232230	3302517	1	1	1	0.211	0	0	0	0	0	0.789	1	1	1	0.211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.789	1	1	1	1	1	1	0.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	3756792	3826331	0	0	0	0	0	0	0	0	0	0	0.11	1	1	1	1	1	0.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	4589320	4653381	0	0	0	0	0	0	0	0	0	0	0	0.06	1	1	1	1	1	1	1	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121	1	1	1	1	1	1	1	1	1	1	1	1
chr1	5155380	5219717	1	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.939	1	1	1	1	1	1	1	0.724	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276	1	1	1	1	1	1	1	1	0.724	0
chr1	5634836	5704314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.873	1	1	1	0.127	0	0	0	0	0	0	0
chr1	5967107	6035506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	6240632	6304964	0.191	1	1	1	0.809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	7186756	7250816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	1	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	7434671	7504179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	7573651	7643108	1	1	1	1	0.79	0	0	0	0	0	0	0	0	0	0	0	0.21	1	1	1	1	1	1	1	1	1	0.79	0	0	0	0	0	0	0	0	0.667	1	1	1	0.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667	1
chr1	7879930	7944250	0.191	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.809	0	0	0	0.191	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.489	0	0
chr1	7962100	8026423	0.018	1	1	0.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	1	1	1	1	1	1	1	0.659	0	0	0	0	0	0	0	0	0.341	1	1	1	1	1	1	1	1	1	1	0.659	0	0	0	0	0	0	0	0	0
